Tender_ID,Tender_Date,Project_Type,Client_Type,Region_Ward,Estimated_Cost_INR,Project_Size_sq_ft
TDR22-001,2022-01-09,Apartments / Flats,Private Developer,84,1250000000,700000
TDR22-002,2022-01-16,Commercial Buildings (Offices / IT Parks),Corporate,91,2150000000,980000
TDR22-003,2022-01-28,Individual Houses,Individual,175,4100000,2100
TDR22-004,2022-02-03,Gated Villas / Row Houses,Private Developer,182,450000000,180000
TDR22-005,2022-02-15,Apartments / Flats,Private Developer,111,2100000000,1100000
TDR22-006,2022-02-24,Individual Houses,Individual,33,6900000,3400
TDR22-007,2022-03-05,Apartments / Flats,Private Developer,65,780000000,420000
TDR22-008,2022-03-18,Government Housing / Public Projects,Govt,14,540000000,360000
TDR22-009,2022-03-29,Commercial Buildings (Offices / IT Parks),Private Developer,78,3300000000,1500000
TDR22-010,2022-04-07,Apartments / Flats,PSU,49,950000000,510000
TDR22-011,2022-04-12,Individual Houses,Individual,191,3100000,1600
TDR22-012,2022-04-25,Gated Villas / Row Houses,Private Developer,166,950000000,380000
TDR22-013,2022-05-02,Apartments / Flats,Private Developer,12,640000000,350000
TDR22-014,2022-05-14,Apartments / Flats,Private Developer,128,2700000000,1450000
TDR22-015,2022-05-26,Commercial Buildings (Offices / IT Parks),Corporate,99,480000000,220000
TDR22-016,2022-06-04,Individual Houses,Individual,5,7800000,3900
TDR22-017,2022-06-11,Apartments / Flats,Private Developer,140,1500000000,800000
TDR22-018,2022-06-23,Gated Villas / Row Houses,Private Developer,196,1200000000,470000
TDR22-019,2022-07-01,Apartments / Flats,Private Developer,53,550000000,300000
TDR22-020,2022-07-09,Individual Houses,Individual,151,5200000,2700
TDR22-021,2022-07-15,Commercial Buildings (Offices / IT Parks),Corporate,88,4400000000,2000000
TDR22-022,2022-07-28,Apartments / Flats,Private Developer,102,1100000000,600000
TDR22-023,2022-08-05,Individual Houses,Individual,22,3800000,1950
TDR22-024,2022-08-14,Gated Villas / Row Houses,Private Developer,179,300000000,125000
TDR22-025,2022-08-22,Apartments / Flats,Private Developer,72,890000000,480000
TDR22-026,2022-08-31,Government Housing / Public Projects,PSU,7,980000000,650000
TDR22-027,2022-09-06,Commercial Buildings (Offices / IT Parks),Private Developer,94,880000000,400000
TDR22-028,2022-09-12,Apartments / Flats,Private Developer,135,3100000000,1650000
TDR22-029,2022-09-19,Individual Houses,Individual,188,8500000,4200
TDR22-030,2022-09-27,Apartments / Flats,Private Developer,3,1700000000,900000
TDR22-031,2022-10-04,Gated Villas / Row Houses,Private Developer,194,680000000,270000
TDR22-032,2022-10-11,Apartments / Flats,Private Developer,116,420000000,230000
TDR22-033,2022-10-18,Commercial Buildings (Offices / IT Parks),Corporate,81,1900000000,850000
TDR22-034,2022-10-25,Apartments / Flats,Private Developer,61,910000000,500000
TDR22-035,2022-11-01,Individual Houses,Individual,160,5000000,2600
TDR22-036,2022-11-07,Gated Villas / Row Houses,Private Developer,171,1450000000,580000
TDR22-037,2022-11-13,Apartments / Flats,PSU,38,1350000000,750000
TDR22-038,2022-11-19,Individual Houses,Individual,9,2900000,1500
TDR22-039,2022-11-24,Commercial Buildings (Offices / IT Parks),PSU,75,2800000000,1250000
TDR22-040,2022-11-29,Apartments / Flats,Private Developer,158,2350000000,1250000
TDR22-041,2022-12-04,Government Housing / Public Projects,Govt,28,1150000000,780000
TDR22-042,2022-12-08,Apartments / Flats,Private Developer,144,380000000,210000
TDR22-043,2022-12-12,Individual Houses,Individual,133,6200000,3100
TDR22-044,2022-12-16,Gated Villas / Row Houses,Private Developer,185,550000000,220000
TDR22-045,2022-12-19,Apartments / Flats,Private Developer,57,1050000000,580000
TDR22-046,2022-12-22,Commercial Buildings (Offices / IT Parks),Corporate,100,5900000000,2600000
TDR22-047,2022-12-25,Apartments / Flats,Private Developer,83,710000000,390000
TDR22-048,2022-12-28,Individual Houses,Individual,122,4500000,2300
TDR22-049,2022-12-30,Apartments / Flats,Private Developer,2,1850000000,980000
TDR22-050,2022-12-31,Gated Villas / Row Houses,Private Developer,198,800000000,310000
TDR23-001,2023-01-08,Apartments / Flats,Private Developer,132,1800000000,950000
TDR23-002,2023-01-15,Commercial Buildings (Offices / IT Parks),Corporate,93,2500000000,1150000
TDR23-003,2023-01-27,Individual Houses,Individual,181,3900000,2000
TDR23-004,2023-02-05,Gated Villas / Row Houses,Private Developer,193,480000000,190000
TDR23-005,2023-02-14,Apartments / Flats,Private Developer,119,2300000000,1200000
TDR23-006,2023-02-26,Individual Houses,Individual,44,7200000,3500
TDR23-007,2023-03-03,Apartments / Flats,Private Developer,68,810000000,450000
TDR23-008,2023-03-17,Government Housing / Public Projects,Govt,19,600000000,400000
TDR23-009,2023-03-30,Commercial Buildings (Offices / IT Parks),Private Developer,71,3800000000,1700000
TDR23-010,2023-04-06,Apartments / Flats,PSU,50,1050000000,560000
TDR23-011,2023-04-14,Individual Houses,Individual,189,3300000,1700
TDR23-012,2023-04-26,Gated Villas / Row Houses,Private Developer,169,1050000000,420000
TDR23-013,2023-05-01,Apartments / Flats,Private Developer,15,690000000,380000
TDR23-014,2023-05-12,Apartments / Flats,Private Developer,130,2900000000,1550000
TDR23-015,2023-05-25,Commercial Buildings (Offices / IT Parks),Corporate,101,520000000,240000
TDR23-016,2023-06-02,Individual Houses,Individual,8,8100000,4000
TDR23-017,2023-06-13,Apartments / Flats,Private Developer,141,1650000000,880000
TDR23-018,2023-06-25,Gated Villas / Row Houses,Private Developer,197,1300000000,510000
TDR23-019,2023-07-03,Apartments / Flats,Private Developer,55,590000000,320000
TDR23-020,2023-07-11,Individual Houses,Individual,153,5500000,2800
TDR23-021,2023-07-18,Commercial Buildings (Offices / IT Parks),Corporate,90,4900000000,2200000
TDR23-022,2023-07-29,Apartments / Flats,Private Developer,103,1200000000,650000
TDR23-023,2023-08-04,Individual Houses,Individual,24,4000000,2050
TDR23-024,2023-08-12,Gated Villas / Row Houses,Private Developer,180,320000000,135000
TDR23-025,2023-08-21,Apartments / Flats,Private Developer,74,940000000,510000
